,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,total
0,female,,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,71,71,74,216
1,female,group C,some college,standard,,married,sometimes,yes,0,,05-Oct,69,90,88,247
2,female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,< 5,87,93,91,271
3,male,group A,associate's degree,free/reduced,none,married,never,no,1,,05-Oct,45,56,42,143
4,male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,05-Oct,76,78,75,229
5,female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,05-Oct,73,84,79,236
6,female,group B,some college,standard,completed,widowed,never,no,1,private,05-Oct,85,93,89,267
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,> 10,41,43,39,123
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,65,64,68,197
9,female,group B,high school,free/reduced,none,married,regularly,yes,,private,< 5,37,59,50,146
10,male,group C,associate's degree,standard,none,,sometimes,yes,1,private,05-Oct,58,54,52,164
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,05-Oct,40,52,43,135
12,female,group B,high school,standard,none,married,regularly,no,1,private,05-Oct,66,82,74,222
13,male,group A,some college,standard,completed,single,sometimes,yes,1,private,> 10,80,73,71,224
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,< 5,48,53,58,159
15,female,group C,some high school,standard,none,married,sometimes,yes,0,private,,69,75,78,222
16,male,group C,high school,standard,,married,sometimes,yes,0,school_bus,05-Oct,88,89,86,263
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,05-Oct,18,32,28,78
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,05-Oct,46,42,47,135
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,< 5,50,56,58,164
20,male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,05-Oct,66,69,63,198
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,05-Oct,65,75,70,210
22,male,group D,,standard,none,married,never,yes,5,,05-Oct,42,53,51,146
23,female,group C,some high school,standard,none,divorced,never,no,3,,05-Oct,66,71,71,208
24,male,group D,,free/reduced,completed,married,sometimes,yes,2,school_bus,05-Oct,74,71,80,225
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,05-Oct,75,76,76,227
26,male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,< 5,66,53,53,172
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,69,70,76,215
28,male,group C,high school,standard,none,married,sometimes,no,1,private,05-Oct,70,70,65,205
30,female,group D,some college,standard,none,single,sometimes,yes,0,private,< 5,66,72,72,210
31,female,group B,some college,standard,none,single,sometimes,yes,5,,05-Oct,63,65,61,189
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,05-Oct,56,73,66,195
33,male,,some college,standard,none,married,sometimes,no,2,private,05-Oct,40,42,38,120
34,male,group E,some college,standard,none,divorced,sometimes,yes,0,school_bus,,97,87,82,266
35,male,group E,associate's degree,standard,completed,single,sometimes,no,,school_bus,05-Oct,81,81,79,241
36,female,group D,associate's degree,standard,none,married,regularly,no,2,private,05-Oct,76,82,85,243
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,05-Oct,51,64,60,175
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,05-Oct,77,91,90,258
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,05-Oct,58,56,58,172
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0,school_bus,05-Oct,53,60,52,165
41,female,group C,associate's degree,standard,none,divorced,regularly,no,1,,05-Oct,59,74,69,202
43,male,group B,some college,free/reduced,,married,regularly,yes,3,school_bus,05-Oct,60,65,67,192
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,< 5,48,55,52,155
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,63,53,55,171
47,female,group C,high school,standard,none,married,regularly,yes,,private,05-Oct,67,72,77,216
49,male,group C,high school,standard,completed,married,sometimes,,3,,05-Oct,82,84,82,248
50,male,group E,some college,standard,none,married,,no,3,school_bus,> 10,54,55,48,157
51,male,,associate's degree,free/reduced,completed,married,regularly,no,2,private,< 5,76,68,68,212
52,male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,> 10,56,45,43,144
53,male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,05-Oct,88,78,75,241
54,female,,some high school,free/reduced,completed,married,regularly,yes,,private,> 10,75,86,90,251
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,05-Oct,33,41,43,117
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,84,86,87,257
57,male,group D,associate's degree,standard,none,single,sometimes,no,2,private,05-Oct,52,55,49,156
58,male,group D,,standard,completed,married,regularly,no,1,private,> 10,61,60,60,181
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3,school_bus,> 10,0,17,10,27
61,male,group A,some high school,free/reduced,none,married,sometimes,yes,,school_bus,05-Oct,39,39,34,112
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5,private,05-Oct,62,61,55,178
64,female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,05-Oct,59,58,59,176
65,male,group B,some high school,standard,none,married,never,yes,1,private,< 5,63,62,58,183
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,05-Oct,45,37,37,119
67,female,group C,some college,standard,none,married,regularly,no,3,school_bus,05-Oct,61,73,75,209
68,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3,school_bus,,62,58,57,177
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,05-Oct,39,64,57,160
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,> 10,64,55,64,183
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1,private,05-Oct,42,51,49,142
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3,school_bus,05-Oct,59,56,54,169
74,male,group C,some high school,standard,,married,sometimes,yes,2,private,< 5,47,48,40,135
75,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,,school_bus,05-Oct,44,41,38,123
76,male,group E,some high school,standard,none,,sometimes,no,5,school_bus,05-Oct,28,25,21,74
77,male,group A,,standard,completed,,regularly,yes,,,05-Oct,82,79,83,244
