,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore,total
0,female,group B,bachelor's degree,standard,none,72,72,74,218
1,female,group C,some college,standard,completed,69,90,88,247
2,female,group B,master's degree,standard,none,90,95,93,278
3,male,group A,associate's degree,free/reduced,none,47,57,44,148
4,male,group C,some college,standard,none,76,78,75,229
5,female,group B,associate's degree,standard,none,71,83,78,232
6,female,group B,some college,standard,completed,88,95,92,275
7,male,group B,some college,free/reduced,none,40,43,39,122
8,male,group D,high school,free/reduced,completed,64,64,67,195
9,female,group B,high school,free/reduced,none,38,60,50,148
10,male,group C,associate's degree,standard,none,58,54,52,164
11,male,group D,associate's degree,standard,none,40,52,43,135
12,female,group B,high school,standard,none,65,81,73,219
13,male,group A,some college,standard,completed,78,72,70,220
14,female,group A,master's degree,standard,none,50,53,58,161
15,female,group C,some high school,standard,none,69,75,78,222
16,male,group C,high school,standard,none,88,89,86,263
17,female,group B,some high school,free/reduced,none,18,32,28,78
18,male,group C,master's degree,free/reduced,completed,46,42,46,134
19,female,group C,associate's degree,free/reduced,none,54,58,61,173
20,male,group D,high school,standard,none,66,69,63,198
21,female,group B,some college,free/reduced,completed,65,75,70,210
22,male,group D,some college,standard,none,44,54,53,151
23,female,group C,some high school,standard,none,69,73,73,215
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80,225
25,male,group A,master's degree,free/reduced,none,73,74,72,219
26,male,group B,some college,standard,none,69,54,55,178
27,female,group C,bachelor's degree,standard,none,67,69,75,211
28,male,group C,high school,standard,none,70,70,65,205
29,female,group D,master's degree,standard,none,62,70,75,207
30,female,group D,some college,standard,none,69,74,74,217
31,female,group B,some college,standard,none,63,65,61,189
32,female,group E,master's degree,free/reduced,none,56,72,65,193
33,male,group D,some college,standard,none,40,42,38,120
34,male,group E,some college,standard,none,97,87,82,266
35,male,group E,associate's degree,standard,completed,81,81,79,241
36,female,group D,associate's degree,standard,none,74,81,83,238
37,female,group D,some high school,free/reduced,none,50,64,59,173
38,female,group D,associate's degree,free/reduced,completed,75,90,88,253
39,male,group B,associate's degree,free/reduced,none,57,56,57,170
40,male,group C,associate's degree,free/reduced,none,55,61,54,170
41,female,group C,associate's degree,standard,none,58,73,68,199
42,female,group B,associate's degree,standard,none,53,58,65,176
43,male,group B,some college,free/reduced,completed,59,65,66,190
44,female,group E,associate's degree,free/reduced,none,50,56,54,160
45,male,group B,associate's degree,standard,none,65,54,57,176
46,female,group A,associate's degree,standard,completed,55,65,62,182
47,female,group C,high school,standard,none,66,71,76,213
48,female,group D,associate's degree,free/reduced,completed,57,74,76,207
49,male,group C,high school,standard,completed,82,84,82,248
50,male,group E,some college,standard,none,53,55,48,156
51,male,group E,associate's degree,free/reduced,completed,77,69,68,214
52,male,group C,some college,standard,none,53,44,42,139
53,male,group D,high school,standard,none,88,78,75,241
54,female,group C,some high school,free/reduced,completed,71,84,87,242
55,female,group C,high school,free/reduced,none,33,41,43,117
56,female,group E,associate's degree,standard,completed,82,85,86,253
57,male,group D,associate's degree,standard,none,52,55,49,156
58,male,group D,some college,standard,completed,58,59,58,175
59,female,group C,some high school,free/reduced,none,0,17,10,27
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72,225
61,male,group A,some high school,free/reduced,none,39,39,34,112
62,male,group A,associate's degree,free/reduced,none,62,61,55,178
63,female,group C,associate's degree,standard,none,69,80,71,220
64,female,group D,some high school,standard,none,59,58,59,176
65,male,group B,some high school,standard,none,67,64,61,192
66,male,group D,some high school,free/reduced,none,45,37,37,119
67,female,group C,some college,standard,none,60,72,74,206
68,male,group B,associate's degree,free/reduced,none,61,58,56,175
69,female,group C,associate's degree,standard,none,39,64,57,160
70,female,group D,some college,free/reduced,completed,58,63,73,194
71,male,group D,some college,standard,completed,63,55,63,181
72,female,group A,associate's degree,free/reduced,none,41,51,48,140
73,male,group C,some high school,free/reduced,none,61,57,56,174
74,male,group C,some high school,standard,none,49,49,41,139
75,male,group B,associate's degree,free/reduced,none,44,41,38,123
76,male,group E,some high school,standard,none,30,26,22,78
77,male,group A,bachelor's degree,standard,completed,80,78,81,239
78,female,group D,some high school,standard,completed,61,74,72,207
79,female,group E,master's degree,standard,none,62,68,68,198
80,female,group B,associate's degree,standard,none,47,49,50,146
81,male,group B,high school,free/reduced,none,49,45,45,139
82,male,group A,some college,free/reduced,completed,50,47,54,151
83,male,group E,associate's degree,standard,none,72,64,63,199
84,male,group D,high school,free/reduced,none,42,39,34,115
85,female,group C,some college,standard,none,73,80,82,235
86,female,group C,some college,free/reduced,none,76,83,88,247
87,female,group D,associate's degree,standard,none,71,71,74,216
88,female,group A,some college,standard,none,58,70,67,195
89,female,group D,some high school,standard,none,73,86,82,241
90,female,group C,bachelor's degree,standard,none,65,72,74,211
91,male,group C,high school,free/reduced,none,27,34,36,97
92,male,group C,high school,standard,none,71,79,71,221
93,male,group C,associate's degree,free/reduced,completed,43,45,50,138
94,female,group B,some college,standard,none,79,86,92,257
95,male,group C,associate's degree,free/reduced,completed,78,81,82,241
96,male,group B,some high school,standard,completed,65,66,62,193
97,female,group E,some college,standard,completed,63,72,70,205
98,female,group D,some college,free/reduced,none,58,67,62,187
99,female,group D,bachelor's degree,standard,none,65,67,62,194
100,male,group B,some college,standard,none,79,67,67,213
101,male,group D,bachelor's degree,standard,completed,68,74,74,216
102,female,group D,associate's degree,standard,none,85,91,89,265
103,male,group B,high school,standard,completed,60,44,47,151
104,male,group C,some college,standard,completed,98,86,90,274
105,female,group C,some college,standard,none,58,67,72,197
106,female,group D,master's degree,standard,none,87,100,100,287
107,male,group E,associate's degree,standard,completed,66,63,64,193
108,female,group B,associate's degree,free/reduced,none,52,76,70,198
109,female,group B,some high school,standard,none,70,64,72,206
110,female,group D,associate's degree,free/reduced,completed,77,89,98,264
111,male,group C,high school,standard,none,62,55,49,166
112,male,group A,associate's degree,standard,none,54,53,47,154
113,female,group D,some college,standard,none,51,58,54,163
114,female,group E,bachelor's degree,standard,completed,99,100,100,299
115,male,group C,high school,standard,none,84,77,74,235
116,female,group B,bachelor's degree,free/reduced,none,75,85,82,242
117,female,group D,bachelor's degree,standard,none,78,82,79,239
118,female,group D,some high school,standard,none,51,63,61,175
119,female,group C,some college,standard,none,55,69,65,189
120,female,group C,bachelor's degree,standard,completed,79,92,89,260
121,male,group B,associate's degree,standard,completed,91,89,92,272
122,female,group C,some college,standard,completed,88,93,93,274
123,male,group D,high school,free/reduced,none,63,57,56,176
124,male,group E,some college,standard,none,83,80,73,236
125,female,group B,high school,standard,none,87,95,86,268
126,male,group B,some high school,standard,none,72,68,67,207
127,male,group D,some college,standard,completed,65,77,74,216
128,male,group D,master's degree,standard,none,82,82,74,238
129,female,group A,bachelor's degree,standard,none,51,49,51,151
130,male,group D,master's degree,standard,none,89,84,82,255
131,male,group C,some high school,free/reduced,completed,53,37,40,130
132,male,group E,some college,free/reduced,completed,87,74,70,231
133,female,group C,some college,standard,completed,75,81,84,240
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75,228
135,male,group C,bachelor's degree,standard,none,58,55,48,161
136,male,group B,some high school,standard,completed,51,54,41,146
137,male,group E,high school,standard,none,70,55,56,181
138,female,group C,associate's degree,standard,none,59,66,67,192
139,male,group D,some college,standard,completed,71,61,69,201
140,female,group D,some high school,standard,none,76,72,71,219
141,female,group C,some college,free/reduced,none,59,62,64,185
142,female,group E,some college,free/reduced,completed,42,55,54,151
143,male,group A,high school,standard,none,57,43,47,147
144,male,group D,some college,standard,none,88,73,78,239
145,female,group C,some college,free/reduced,none,22,39,33,94
146,male,group B,some high school,standard,none,88,84,75,247
147,male,group C,associate's degree,free/reduced,none,73,68,66,207
148,female,group D,bachelor's degree,standard,completed,68,75,81,224
149,male,group E,associate's degree,free/reduced,completed,100,100,93,293
150,male,group A,some high school,standard,completed,62,67,69,198
151,male,group A,bachelor's degree,standard,none,77,67,68,212
152,female,group B,associate's degree,standard,completed,59,70,66,195
153,male,group D,bachelor's degree,standard,none,54,49,47,150
154,male,group D,some high school,standard,none,62,67,61,190
155,female,group C,some college,standard,completed,70,89,88,247
156,female,group E,high school,free/reduced,completed,66,74,78,218
157,male,group B,some college,free/reduced,none,60,60,60,180
158,female,group B,associate's degree,standard,completed,61,86,87,234
159,male,group D,associate's degree,free/reduced,none,66,62,64,192
160,male,group B,associate's degree,free/reduced,completed,82,78,74,234
161,female,group E,some college,free/reduced,completed,75,88,85,248
162,male,group B,master's degree,free/reduced,none,49,53,52,154
163,male,group C,high school,standard,none,52,53,49,154
164,female,group E,master's degree,standard,none,81,92,91,264
165,female,group C,bachelor's degree,standard,completed,96,100,100,296
166,male,group C,high school,free/reduced,completed,53,51,51,155
167,female,group B,master's degree,free/reduced,completed,58,76,78,212
